Pathogen,Antibiotic,Region
Escherichia coli,Cefotaxime,Switzerland
Escherichia coli,Cefotaxime,Switzerland
Escherichia coli,Cefotaxime,Switzerland
Escherichia coli,Cefotaxime,Switzerland
Escherichia coli,Cefotaxime,Georgia
Escherichia coli,Cefotaxime,Georgia
Escherichia coli,Cefotaxime,Georgia
Escherichia coli,Cefotaxime,Georgia
Escherichia coli,Cefotaxime,India
Escherichia coli,Cefotaxime,India
Escherichia coli,Cefotaxime,India
Escherichia coli,Cefotaxime,India
Escherichia coli,Cefotaxime,Japan
Escherichia coli,Cefotaxime,Japan
Escherichia coli,Cefotaxime,Japan
Escherichia coli,Cefotaxime,Japan
Escherichia coli,Cefotaxime,Republic of Korea
Escherichia coli,Cefotaxime,Republic of Korea
Escherichia coli,Cefotaxime,Republic of Korea
Escherichia coli,Cefotaxime,Republic of Korea
Escherichia coli,Cefotaxime,North Macedonia
Escherichia coli,Cefotaxime,North Macedonia
Escherichia coli,Cefotaxime,North Macedonia
Escherichia coli,Cefotaxime,North Macedonia
Escherichia coli,Cefotaxime,Malta
Escherichia coli,Cefotaxime,Malta
Escherichia coli,Cefotaxime,Malta
Escherichia coli,Cefotaxime,Malta
Escherichia coli,Cefotaxime,Malaysia
Escherichia coli,Cefotaxime,Malaysia
Escherichia coli,Cefotaxime,Malaysia
Escherichia coli,Cefotaxime,Malaysia
Escherichia coli,Cefotaxime,Oman
Escherichia coli,Cefotaxime,Oman
Escherichia coli,Cefotaxime,Oman
Escherichia coli,Cefotaxime,Oman
Escherichia coli,Cefotaxime,Philippines
Escherichia coli,Cefotaxime,Philippines
Escherichia coli,Cefotaxime,Philippines
Escherichia coli,Cefotaxime,Philippines
Escherichia coli,Cefotaxime,Russian Federation
Escherichia coli,Cefotaxime,Russian Federation
Escherichia coli,Cefotaxime,Russian Federation
Escherichia coli,Cefotaxime,Russian Federation
Escherichia coli,Cefotaxime,Saudi Arabia
Escherichia coli,Cefotaxime,Saudi Arabia
Escherichia coli,Cefotaxime,Saudi Arabia
Escherichia coli,Cefotaxime,Saudi Arabia
Escherichia coli,Cefotaxime,Thailand
Escherichia coli,Cefotaxime,Thailand
Escherichia coli,Cefotaxime,Thailand
Escherichia coli,Cefotaxime,Thailand
Escherichia coli,Cefotaxime,Tunisia
Escherichia coli,Cefotaxime,Tunisia
Escherichia coli,Cefotaxime,Tunisia
Escherichia coli,Cefotaxime,Tunisia
Escherichia coli,Ceftazidime,United Arab Emirates
Escherichia coli,Ceftazidime,United Arab Emirates
Escherichia coli,Ceftazidime,United Arab Emirates
Escherichia coli,Ceftazidime,United Arab Emirates
Escherichia coli,Ceftazidime,Argentina
Escherichia coli,Ceftazidime,Argentina
Escherichia coli,Ceftazidime,Argentina
Escherichia coli,Ceftazidime,Argentina
Escherichia coli,Ceftazidime,Bosnia and Herzegovina
Escherichia coli,Ceftazidime,Bosnia and Herzegovina
Escherichia coli,Ceftazidime,Bosnia and Herzegovina
Escherichia coli,Ceftazidime,Bosnia and Herzegovina
Escherichia coli,Ceftazidime,Switzerland
Escherichia coli,Ceftazidime,Switzerland
Escherichia coli,Ceftazidime,Switzerland
Escherichia coli,Ceftazidime,Switzerland
Escherichia coli,Ceftazidime,Georgia
Escherichia coli,Ceftazidime,Georgia
Escherichia coli,Ceftazidime,Georgia
Escherichia coli,Ceftazidime,Georgia
Escherichia coli,Ceftazidime,India
Escherichia coli,Ceftazidime,India
Escherichia coli,Ceftazidime,India
Escherichia coli,Ceftazidime,India
Escherichia coli,Ceftazidime,Japan
Escherichia coli,Ceftazidime,Japan
Escherichia coli,Ceftazidime,Japan
Escherichia coli,Ceftazidime,Japan
Escherichia coli,Ceftazidime,Republic of Korea
Escherichia coli,Ceftazidime,Republic of Korea
Escherichia coli,Ceftazidime,Republic of Korea
Escherichia coli,Ceftazidime,Republic of Korea
Escherichia coli,Ceftazidime,Lao People's Democratic Republic
Escherichia coli,Ceftazidime,Lao People's Democratic Republic
Escherichia coli,Ceftazidime,Lao People's Democratic Republic
Escherichia coli,Ceftazidime,Lao People's Democratic Republic
Escherichia coli,Ceftazidime,North Macedonia
Escherichia coli,Ceftazidime,North Macedonia
Escherichia coli,Ceftazidime,North Macedonia
Escherichia coli,Ceftazidime,North Macedonia
Escherichia coli,Ceftazidime,Malta
Escherichia coli,Ceftazidime,Malta
Escherichia coli,Ceftazidime,Malta
Escherichia coli,Ceftazidime,Malta
Escherichia coli,Ceftazidime,Malaysia
Escherichia coli,Ceftazidime,Malaysia
Escherichia coli,Ceftazidime,Malaysia
Escherichia coli,Ceftazidime,Malaysia
Escherichia coli,Ceftazidime,Oman
Escherichia coli,Ceftazidime,Oman
Escherichia coli,Ceftazidime,Oman
Escherichia coli,Ceftazidime,Oman
Escherichia coli,Ceftazidime,Pakistan
Escherichia coli,Ceftazidime,Pakistan
Escherichia coli,Ceftazidime,Pakistan
Escherichia coli,Ceftazidime,Pakistan
Escherichia coli,Ceftazidime,Philippines
Escherichia coli,Ceftazidime,Philippines
Escherichia coli,Ceftazidime,Philippines
Escherichia coli,Ceftazidime,Philippines
Escherichia coli,Ceftazidime,Russian Federation
Escherichia coli,Ceftazidime,Russian Federation
Escherichia coli,Ceftazidime,Russian Federation
Escherichia coli,Ceftazidime,Russian Federation
Escherichia coli,Ceftazidime,Saudi Arabia
Escherichia coli,Ceftazidime,Saudi Arabia
Escherichia coli,Ceftazidime,Saudi Arabia
Escherichia coli,Ceftazidime,Saudi Arabia
Escherichia coli,Ceftazidime,Thailand
Escherichia coli,Ceftazidime,Thailand
Escherichia coli,Ceftazidime,Thailand
Escherichia coli,Ceftazidime,Thailand
Escherichia coli,Ceftazidime,Tunisia
Escherichia coli,Ceftazidime,Tunisia
Escherichia coli,Ceftazidime,Tunisia
Escherichia coli,Ceftazidime,Tunisia
Escherichia coli,Ceftriaxone,United Arab Emirates
Escherichia coli,Ceftriaxone,United Arab Emirates
Escherichia coli,Ceftriaxone,United Arab Emirates
Escherichia coli,Ceftriaxone,United Arab Emirates
Escherichia coli,Ceftriaxone,Bosnia and Herzegovina
Escherichia coli,Ceftriaxone,Bosnia and Herzegovina
Escherichia coli,Ceftriaxone,Bosnia and Herzegovina
Escherichia coli,Ceftriaxone,Bosnia and Herzegovina
Escherichia coli,Ceftriaxone,Switzerland
Escherichia coli,Ceftriaxone,Switzerland
Escherichia coli,Ceftriaxone,Switzerland
Escherichia coli,Ceftriaxone,Switzerland
Escherichia coli,Ceftriaxone,Georgia
Escherichia coli,Ceftriaxone,Georgia
Escherichia coli,Ceftriaxone,Georgia
Escherichia coli,Ceftriaxone,Georgia
Escherichia coli,Ceftriaxone,India
Escherichia coli,Ceftriaxone,India
Escherichia coli,Ceftriaxone,India
Escherichia coli,Ceftriaxone,India
Escherichia coli,Ceftriaxone,Japan
Escherichia coli,Ceftriaxone,Japan
Escherichia coli,Ceftriaxone,Japan
Escherichia coli,Ceftriaxone,Japan
Escherichia coli,Ceftriaxone,Lao People's Democratic Republic
Escherichia coli,Ceftriaxone,Lao People's Democratic Republic
Escherichia coli,Ceftriaxone,Lao People's Democratic Republic
Escherichia coli,Ceftriaxone,Lao People's Democratic Republic
Escherichia coli,Ceftriaxone,Lebanon
Escherichia coli,Ceftriaxone,Lebanon
Escherichia coli,Ceftriaxone,Lebanon
Escherichia coli,Ceftriaxone,Lebanon
Escherichia coli,Ceftriaxone,North Macedonia
Escherichia coli,Ceftriaxone,North Macedonia
Escherichia coli,Ceftriaxone,North Macedonia
Escherichia coli,Ceftriaxone,North Macedonia
Escherichia coli,Ceftriaxone,Malaysia
Escherichia coli,Ceftriaxone,Malaysia
Escherichia coli,Ceftriaxone,Malaysia
Escherichia coli,Ceftriaxone,Malaysia
Escherichia coli,Ceftriaxone,Oman
Escherichia coli,Ceftriaxone,Oman
Escherichia coli,Ceftriaxone,Oman
Escherichia coli,Ceftriaxone,Oman
Escherichia coli,Ceftriaxone,Pakistan
Escherichia coli,Ceftriaxone,Pakistan
Escherichia coli,Ceftriaxone,Pakistan
Escherichia coli,Ceftriaxone,Pakistan
Escherichia coli,Ceftriaxone,Philippines
Escherichia coli,Ceftriaxone,Philippines
Escherichia coli,Ceftriaxone,Philippines
Escherichia coli,Ceftriaxone,Philippines
Escherichia coli,Ceftriaxone,Saudi Arabia
Escherichia coli,Ceftriaxone,Saudi Arabia
Escherichia coli,Ceftriaxone,Saudi Arabia
Escherichia coli,Ceftriaxone,Saudi Arabia
Escherichia coli,Ceftriaxone,Thailand
Escherichia coli,Ceftriaxone,Thailand
Escherichia coli,Ceftriaxone,Thailand
Escherichia coli,Ceftriaxone,Thailand
Escherichia coli,Ciprofloxacin,United Arab Emirates
Escherichia coli,Ciprofloxacin,United Arab Emirates
Escherichia coli,Ciprofloxacin,United Arab Emirates
Escherichia coli,Ciprofloxacin,United Arab Emirates
Escherichia coli,Ciprofloxacin,Argentina
Escherichia coli,Ciprofloxacin,Argentina
Escherichia coli,Ciprofloxacin,Argentina
Escherichia coli,Ciprofloxacin,Argentina
Escherichia coli,Ciprofloxacin,Bosnia and Herzegovina
Escherichia coli,Ciprofloxacin,Bosnia and Herzegovina
Escherichia coli,Ciprofloxacin,Bosnia and Herzegovina
Escherichia coli,Ciprofloxacin,Bosnia and Herzegovina
Escherichia coli,Ciprofloxacin,Switzerland
Escherichia coli,Ciprofloxacin,Switzerland
Escherichia coli,Ciprofloxacin,Switzerland
Escherichia coli,Ciprofloxacin,Switzerland
Escherichia coli,Ciprofloxacin,Georgia
Escherichia coli,Ciprofloxacin,Georgia
Escherichia coli,Ciprofloxacin,Georgia
Escherichia coli,Ciprofloxacin,Georgia
Escherichia coli,Ciprofloxacin,India
Escherichia coli,Ciprofloxacin,India
Escherichia coli,Ciprofloxacin,India
Escherichia coli,Ciprofloxacin,India
Escherichia coli,Ciprofloxacin,Jordan
Escherichia coli,Ciprofloxacin,Jordan
Escherichia coli,Ciprofloxacin,Jordan
Escherichia coli,Ciprofloxacin,Jordan
Escherichia coli,Ciprofloxacin,Japan
Escherichia coli,Ciprofloxacin,Japan
Escherichia coli,Ciprofloxacin,Japan
Escherichia coli,Ciprofloxacin,Japan
Escherichia coli,Ciprofloxacin,Republic of Korea
Escherichia coli,Ciprofloxacin,Republic of Korea
Escherichia coli,Ciprofloxacin,Republic of Korea
Escherichia coli,Ciprofloxacin,Republic of Korea
Escherichia coli,Ciprofloxacin,Lao People's Democratic Republic
Escherichia coli,Ciprofloxacin,Lao People's Democratic Republic
Escherichia coli,Ciprofloxacin,Lao People's Democratic Republic
Escherichia coli,Ciprofloxacin,Lao People's Democratic Republic
Escherichia coli,Ciprofloxacin,Lebanon
Escherichia coli,Ciprofloxacin,Lebanon
Escherichia coli,Ciprofloxacin,Lebanon
Escherichia coli,Ciprofloxacin,Lebanon
Escherichia coli,Ciprofloxacin,North Macedonia
Escherichia coli,Ciprofloxacin,North Macedonia
Escherichia coli,Ciprofloxacin,North Macedonia
Escherichia coli,Ciprofloxacin,North Macedonia
Escherichia coli,Ciprofloxacin,Malta
Escherichia coli,Ciprofloxacin,Malta
Escherichia coli,Ciprofloxacin,Malta
Escherichia coli,Ciprofloxacin,Malta
Escherichia coli,Ciprofloxacin,Malaysia
Escherichia coli,Ciprofloxacin,Malaysia
Escherichia coli,Ciprofloxacin,Malaysia
Escherichia coli,Ciprofloxacin,Malaysia
Escherichia coli,Ciprofloxacin,Oman
Escherichia coli,Ciprofloxacin,Oman
Escherichia coli,Ciprofloxacin,Oman
Escherichia coli,Ciprofloxacin,Oman
Escherichia coli,Ciprofloxacin,Pakistan
Escherichia coli,Ciprofloxacin,Pakistan
Escherichia coli,Ciprofloxacin,Pakistan
Escherichia coli,Ciprofloxacin,Pakistan
Escherichia coli,Ciprofloxacin,Philippines
Escherichia coli,Ciprofloxacin,Philippines
Escherichia coli,Ciprofloxacin,Philippines
Escherichia coli,Ciprofloxacin,Philippines
Escherichia coli,Ciprofloxacin,Russian Federation
Escherichia coli,Ciprofloxacin,Russian Federation
Escherichia coli,Ciprofloxacin,Russian Federation
Escherichia coli,Ciprofloxacin,Russian Federation
Escherichia coli,Ciprofloxacin,Saudi Arabia
Escherichia coli,Ciprofloxacin,Saudi Arabia
Escherichia coli,Ciprofloxacin,Saudi Arabia
Escherichia coli,Ciprofloxacin,Saudi Arabia
Escherichia coli,Ciprofloxacin,Thailand
Escherichia coli,Ciprofloxacin,Thailand
Escherichia coli,Ciprofloxacin,Thailand
Escherichia coli,Ciprofloxacin,Thailand
Escherichia coli,Ciprofloxacin,Tunisia
Escherichia coli,Ciprofloxacin,Tunisia
Escherichia coli,Ciprofloxacin,Tunisia
Escherichia coli,Ciprofloxacin,Tunisia
Escherichia coli,Co-trimoxazole,United Arab Emirates
Escherichia coli,Co-trimoxazole,United Arab Emirates
Escherichia coli,Co-trimoxazole,United Arab Emirates
Escherichia coli,Co-trimoxazole,United Arab Emirates
Escherichia coli,Co-trimoxazole,Argentina
Escherichia coli,Co-trimoxazole,Argentina
Escherichia coli,Co-trimoxazole,Argentina
Escherichia coli,Co-trimoxazole,Argentina
Escherichia coli,Co-trimoxazole,India
Escherichia coli,Co-trimoxazole,India
Escherichia coli,Co-trimoxazole,India
Escherichia coli,Co-trimoxazole,India
Escherichia coli,Co-trimoxazole,Republic of Korea
Escherichia coli,Co-trimoxazole,Republic of Korea
Escherichia coli,Co-trimoxazole,Republic of Korea
Escherichia coli,Co-trimoxazole,Republic of Korea
Escherichia coli,Co-trimoxazole,Lao People's Democratic Republic
Escherichia coli,Co-trimoxazole,Lao People's Democratic Republic
Escherichia coli,Co-trimoxazole,Lao People's Democratic Republic
Escherichia coli,Co-trimoxazole,Lao People's Democratic Republic
Escherichia coli,Co-trimoxazole,North Macedonia
Escherichia coli,Co-trimoxazole,North Macedonia
Escherichia coli,Co-trimoxazole,North Macedonia
Escherichia coli,Co-trimoxazole,North Macedonia
Escherichia coli,Co-trimoxazole,Malaysia
Escherichia coli,Co-trimoxazole,Malaysia
Escherichia coli,Co-trimoxazole,Malaysia
Escherichia coli,Co-trimoxazole,Malaysia
Escherichia coli,Co-trimoxazole,Oman
Escherichia coli,Co-trimoxazole,Oman
Escherichia coli,Co-trimoxazole,Oman
Escherichia coli,Co-trimoxazole,Oman
Escherichia coli,Co-trimoxazole,Pakistan
Escherichia coli,Co-trimoxazole,Pakistan
Escherichia coli,Co-trimoxazole,Pakistan
Escherichia coli,Co-trimoxazole,Pakistan
Escherichia coli,Co-trimoxazole,Philippines
Escherichia coli,Co-trimoxazole,Philippines
Escherichia coli,Co-trimoxazole,Philippines
Escherichia coli,Co-trimoxazole,Philippines
Escherichia coli,Co-trimoxazole,Saudi Arabia
Escherichia coli,Co-trimoxazole,Saudi Arabia
Escherichia coli,Co-trimoxazole,Saudi Arabia
Escherichia coli,Co-trimoxazole,Saudi Arabia
Escherichia coli,Co-trimoxazole,Thailand
Escherichia coli,Co-trimoxazole,Thailand
Escherichia coli,Co-trimoxazole,Thailand
Escherichia coli,Co-trimoxazole,Thailand
Escherichia coli,Colistin,United Arab Emirates
Escherichia coli,Colistin,United Arab Emirates
Escherichia coli,Colistin,United Arab Emirates
Escherichia coli,Colistin,United Arab Emirates
Escherichia coli,Colistin,Argentina
Escherichia coli,Colistin,Argentina
Escherichia coli,Colistin,Argentina
Escherichia coli,Colistin,Argentina
Escherichia coli,Colistin,Switzerland
Escherichia coli,Colistin,Switzerland
Escherichia coli,Colistin,Switzerland
Escherichia coli,Colistin,Switzerland
Escherichia coli,Colistin,North Macedonia
Escherichia coli,Colistin,North Macedonia
Escherichia coli,Colistin,North Macedonia
Escherichia coli,Colistin,North Macedonia
Escherichia coli,Colistin,Malaysia
Escherichia coli,Colistin,Malaysia
Escherichia coli,Colistin,Malaysia
Escherichia coli,Colistin,Malaysia
Escherichia coli,Colistin,Oman
Escherichia coli,Colistin,Oman
Escherichia coli,Colistin,Oman
Escherichia coli,Colistin,Oman
Escherichia coli,Colistin,Philippines
Escherichia coli,Colistin,Philippines
Escherichia coli,Colistin,Philippines
Escherichia coli,Colistin,Philippines
Escherichia coli,Colistin,Saudi Arabia
Escherichia coli,Colistin,Saudi Arabia
Escherichia coli,Colistin,Saudi Arabia
Escherichia coli,Colistin,Saudi Arabia
Escherichia coli,Colistin,Thailand
Escherichia coli,Colistin,Thailand
Escherichia coli,Colistin,Thailand
Escherichia coli,Colistin,Thailand
Escherichia coli,Doripenem,Malaysia
Escherichia coli,Doripenem,Malaysia
Escherichia coli,Doripenem,Malaysia
Escherichia coli,Doripenem,Malaysia
Escherichia coli,Doripenem,Philippines
Escherichia coli,Doripenem,Philippines
Escherichia coli,Doripenem,Philippines
Escherichia coli,Doripenem,Philippines
Escherichia coli,Doripenem,Thailand
Escherichia coli,Doripenem,Thailand
Escherichia coli,Doripenem,Thailand
Escherichia coli,Doripenem,Thailand
Escherichia coli,Ertapenem,United Arab Emirates
Escherichia coli,Ertapenem,United Arab Emirates
Escherichia coli,Ertapenem,United Arab Emirates
Escherichia coli,Ertapenem,United Arab Emirates
Escherichia coli,Ertapenem,Argentina
Escherichia coli,Ertapenem,Argentina
Escherichia coli,Ertapenem,Argentina
Escherichia coli,Ertapenem,Argentina
Escherichia coli,Ertapenem,Bosnia and Herzegovina
Escherichia coli,Ertapenem,Bosnia and Herzegovina
Escherichia coli,Ertapenem,Bosnia and Herzegovina
Escherichia coli,Ertapenem,Bosnia and Herzegovina
Escherichia coli,Ertapenem,Switzerland
Escherichia coli,Ertapenem,Switzerland
Escherichia coli,Ertapenem,Switzerland
Escherichia coli,Ertapenem,Switzerland
Escherichia coli,Ertapenem,India
Escherichia coli,Ertapenem,India
Escherichia coli,Ertapenem,India
Escherichia coli,Ertapenem,India
Escherichia coli,Ertapenem,Jordan
Escherichia coli,Ertapenem,Jordan
Escherichia coli,Ertapenem,Jordan
Escherichia coli,Ertapenem,Jordan
Escherichia coli,Ertapenem,Republic of Korea
Escherichia coli,Ertapenem,Republic of Korea
Escherichia coli,Ertapenem,Republic of Korea
Escherichia coli,Ertapenem,Republic of Korea
Escherichia coli,Ertapenem,North Macedonia
Escherichia coli,Ertapenem,North Macedonia
Escherichia coli,Ertapenem,North Macedonia
Escherichia coli,Ertapenem,North Macedonia
Escherichia coli,Ertapenem,Malaysia
Escherichia coli,Ertapenem,Malaysia
Escherichia coli,Ertapenem,Malaysia
Escherichia coli,Ertapenem,Malaysia
Escherichia coli,Ertapenem,Philippines
Escherichia coli,Ertapenem,Philippines
Escherichia coli,Ertapenem,Philippines
Escherichia coli,Ertapenem,Philippines
Escherichia coli,Ertapenem,Russian Federation
Escherichia coli,Ertapenem,Russian Federation
Escherichia coli,Ertapenem,Russian Federation
Escherichia coli,Ertapenem,Russian Federation
Escherichia coli,Ertapenem,Saudi Arabia
Escherichia coli,Ertapenem,Saudi Arabia
Escherichia coli,Ertapenem,Saudi Arabia
Escherichia coli,Ertapenem,Saudi Arabia
Escherichia coli,Ertapenem,Thailand
Escherichia coli,Ertapenem,Thailand
Escherichia coli,Ertapenem,Thailand
Escherichia coli,Ertapenem,Thailand
Escherichia coli,Ertapenem,Tunisia
Escherichia coli,Ertapenem,Tunisia
Escherichia coli,Ertapenem,Tunisia
Escherichia coli,Ertapenem,Tunisia
Escherichia coli,Imipenem,United Arab Emirates
Escherichia coli,Imipenem,United Arab Emirates
Escherichia coli,Imipenem,United Arab Emirates
Escherichia coli,Imipenem,United Arab Emirates
Escherichia coli,Imipenem,Argentina
Escherichia coli,Imipenem,Argentina
Escherichia coli,Imipenem,Argentina
Escherichia coli,Imipenem,Argentina
Escherichia coli,Imipenem,Bosnia and Herzegovina
Escherichia coli,Imipenem,Bosnia and Herzegovina
Escherichia coli,Imipenem,Bosnia and Herzegovina
Escherichia coli,Imipenem,Bosnia and Herzegovina
Escherichia coli,Imipenem,Switzerland
Escherichia coli,Imipenem,Switzerland
Escherichia coli,Imipenem,Switzerland
Escherichia coli,Imipenem,Switzerland
Escherichia coli,Imipenem,Georgia
Escherichia coli,Imipenem,Georgia
Escherichia coli,Imipenem,Georgia
Escherichia coli,Imipenem,Georgia
Escherichia coli,Imipenem,India
Escherichia coli,Imipenem,India
Escherichia coli,Imipenem,India
Escherichia coli,Imipenem,India
Escherichia coli,Imipenem,Jordan
Escherichia coli,Imipenem,Jordan
Escherichia coli,Imipenem,Jordan
Escherichia coli,Imipenem,Jordan
Escherichia coli,Imipenem,Japan
Escherichia coli,Imipenem,Japan
Escherichia coli,Imipenem,Japan
Escherichia coli,Imipenem,Japan
Escherichia coli,Imipenem,Republic of Korea
Escherichia coli,Imipenem,Republic of Korea
Escherichia coli,Imipenem,Republic of Korea
Escherichia coli,Imipenem,Republic of Korea
Escherichia coli,Imipenem,North Macedonia
Escherichia coli,Imipenem,North Macedonia
Escherichia coli,Imipenem,North Macedonia
Escherichia coli,Imipenem,North Macedonia
Escherichia coli,Imipenem,Malta
Escherichia coli,Imipenem,Malta
Escherichia coli,Imipenem,Malta
Escherichia coli,Imipenem,Malta
Escherichia coli,Imipenem,Malaysia
Escherichia coli,Imipenem,Malaysia
Escherichia coli,Imipenem,Malaysia
Escherichia coli,Imipenem,Malaysia
Escherichia coli,Imipenem,Oman
Escherichia coli,Imipenem,Oman
Escherichia coli,Imipenem,Oman
Escherichia coli,Imipenem,Oman
Escherichia coli,Imipenem,Pakistan
Escherichia coli,Imipenem,Pakistan
Escherichia coli,Imipenem,Pakistan
Escherichia coli,Imipenem,Pakistan
Escherichia coli,Imipenem,Philippines
Escherichia coli,Imipenem,Philippines
Escherichia coli,Imipenem,Philippines
Escherichia coli,Imipenem,Philippines
Escherichia coli,Imipenem,Russian Federation
Escherichia coli,Imipenem,Russian Federation
Escherichia coli,Imipenem,Russian Federation
Escherichia coli,Imipenem,Russian Federation
Escherichia coli,Imipenem,Saudi Arabia
Escherichia coli,Imipenem,Saudi Arabia
Escherichia coli,Imipenem,Saudi Arabia
Escherichia coli,Imipenem,Saudi Arabia
Escherichia coli,Imipenem,Thailand
Escherichia coli,Imipenem,Thailand
Escherichia coli,Imipenem,Thailand
Escherichia coli,Imipenem,Thailand
Escherichia coli,Imipenem,Tunisia
Escherichia coli,Imipenem,Tunisia
Escherichia coli,Imipenem,Tunisia
Escherichia coli,Imipenem,Tunisia
Escherichia coli,Levofloxacin,United Arab Emirates
Escherichia coli,Levofloxacin,United Arab Emirates
Escherichia coli,Levofloxacin,United Arab Emirates
Escherichia coli,Levofloxacin,United Arab Emirates
Escherichia coli,Levofloxacin,Bosnia and Herzegovina
Escherichia coli,Levofloxacin,Bosnia and Herzegovina
Escherichia coli,Levofloxacin,Bosnia and Herzegovina
Escherichia coli,Levofloxacin,Bosnia and Herzegovina
Escherichia coli,Levofloxacin,Switzerland
Escherichia coli,Levofloxacin,Switzerland
Escherichia coli,Levofloxacin,Switzerland
Escherichia coli,Levofloxacin,Switzerland
Escherichia coli,Levofloxacin,Georgia
Escherichia coli,Levofloxacin,Georgia
Escherichia coli,Levofloxacin,Georgia
Escherichia coli,Levofloxacin,Georgia
Escherichia coli,Levofloxacin,Japan
Escherichia coli,Levofloxacin,Japan
Escherichia coli,Levofloxacin,Japan
Escherichia coli,Levofloxacin,Japan
Escherichia coli,Levofloxacin,North Macedonia
Escherichia coli,Levofloxacin,North Macedonia
Escherichia coli,Levofloxacin,North Macedonia
Escherichia coli,Levofloxacin,North Macedonia
Escherichia coli,Levofloxacin,Pakistan
Escherichia coli,Levofloxacin,Pakistan
Escherichia coli,Levofloxacin,Pakistan
Escherichia coli,Levofloxacin,Pakistan
Escherichia coli,Levofloxacin,Philippines
Escherichia coli,Levofloxacin,Philippines
Escherichia coli,Levofloxacin,Philippines
Escherichia coli,Levofloxacin,Philippines
Escherichia coli,Levofloxacin,Saudi Arabia
Escherichia coli,Levofloxacin,Saudi Arabia
Escherichia coli,Levofloxacin,Saudi Arabia
Escherichia coli,Levofloxacin,Saudi Arabia
Escherichia coli,Levofloxacin,Thailand
Escherichia coli,Levofloxacin,Thailand
Escherichia coli,Levofloxacin,Thailand
Escherichia coli,Levofloxacin,Thailand
Acinetobacter spp.,Doripenem,Thailand
Acinetobacter spp.,Doripenem,Thailand
Acinetobacter spp.,Doripenem,Thailand
Acinetobacter spp.,Doripenem,Thailand
Escherichia coli,Meropenem,United Arab Emirates
Escherichia coli,Meropenem,United Arab Emirates
Escherichia coli,Meropenem,United Arab Emirates
Escherichia coli,Meropenem,United Arab Emirates
Escherichia coli,Meropenem,Argentina
Escherichia coli,Meropenem,Argentina
Escherichia coli,Meropenem,Argentina
Escherichia coli,Meropenem,Argentina
Escherichia coli,Meropenem,Bosnia and Herzegovina
Escherichia coli,Meropenem,Bosnia and Herzegovina
Escherichia coli,Meropenem,Bosnia and Herzegovina
Escherichia coli,Meropenem,Bosnia and Herzegovina
Escherichia coli,Meropenem,Switzerland
Escherichia coli,Meropenem,Switzerland
Escherichia coli,Meropenem,Switzerland
Escherichia coli,Meropenem,Switzerland
Escherichia coli,Meropenem,Georgia
Escherichia coli,Meropenem,Georgia
Escherichia coli,Meropenem,Georgia
Escherichia coli,Meropenem,Georgia
Escherichia coli,Meropenem,India
Escherichia coli,Meropenem,India
Escherichia coli,Meropenem,India
Escherichia coli,Meropenem,India
Escherichia coli,Meropenem,Japan
Escherichia coli,Meropenem,Japan
Escherichia coli,Meropenem,Japan
Escherichia coli,Meropenem,Japan
Escherichia coli,Meropenem,Republic of Korea
Escherichia coli,Meropenem,Republic of Korea
Escherichia coli,Meropenem,Republic of Korea
